Fecha,Precio
2019-06-06,3296.87
2019-06-07,3288.69
2019-06-08,3274.72
2019-06-09,3274.72
2019-06-10,3274.72
2019-06-11,3257.06
2019-06-12,3249.56
2019-06-13,3264.47
2019-06-14,3266.72
2019-06-15,3270.7
2019-06-16,3270.7
2019-06-17,3270.7
2019-06-18,3286.63
2019-06-19,3264.98
2019-06-20,3248.91
2019-06-21,3202.01
2019-06-22,3191.17
2019-06-23,3191.17
2019-06-24,3191.17
2019-06-25,3191.17
2019-06-26,3187.15
2019-06-27,3177.94
2019-06-28,3197.23
2019-06-29,3205.67
2019-06-30,3205.67
2019-07-01,3205.67
2019-07-02,3205.67
2019-07-03,3211.06
2019-07-04,3206.92
2019-07-05,3206.92
2019-07-06,3217.18
2019-07-07,3217.18
2019-07-08,3217.18
2019-07-09,3207.66
2019-07-10,3223.67
2019-07-11,3212.91
2019-07-12,3197.5
2019-07-13,3190.33
2019-07-14,3190.33
2019-07-15,3190.33
2019-07-16,3190.66
2019-07-17,3199.72
2019-07-18,3189.21
2019-07-19,3183.01
2019-07-20,3169.51
2019-07-21,3169.51
2019-07-22,3169.51
2019-07-23,3177.76
2019-07-24,3188.01
2019-07-25,3194.67
2019-07-26,3213.09
2019-07-27,3233.26
2019-07-28,3233.26
2019-07-29,3233.26
2019-07-30,3262.81
2019-07-31,3296.85
2019-08-01,3291.79
2019-08-02,3329.23
2019-08-03,3365.78
2019-08-04,3365.78
2019-08-05,3365.78
2019-08-06,3459.47
2019-08-07,3431.28
2019-08-08,3431.28
2019-08-09,3394.61
2019-08-10,3382.71
2019-08-11,3382.71
2019-08-12,3382.71
2019-08-13,3436.26
2019-08-14,3407.76
2019-08-15,3449.27
2019-08-16,3447.76
2019-08-17,3441.4
2019-08-18,3441.4
2019-08-19,3441.4
2019-08-20,3441.4
2019-08-21,3420.99
2019-08-22,3385.28
2019-08-23,3376.99
2019-08-24,3399.95
2019-08-25,3399.95
2019-08-26,3399.95
2019-08-27,3432.85
2019-08-28,3457.89
2019-08-29,3477.53
2019-08-30,3464.15
2019-08-31,3427.29
2019-09-01,3427.29
2019-09-02,3427.29
2019-09-03,3427.29
2019-09-04,3438.61
2019-09-05,3401.04
2019-09-06,3377.39
2019-09-07,3361.7
2019-09-08,3361.7
2019-09-09,3361.7
2019-09-10,3368.8
2019-09-11,3373.75
2019-09-12,3372.48
2019-09-13,3359.2
2019-09-14,3356.15
2019-09-15,3356.15
2019-09-16,3356.15
2019-09-17,3364.43
2019-09-18,3380.92
2019-09-19,3377.79
2019-09-20,3377.72
2019-09-21,3402.32
2019-09-22,3402.32
2019-09-23,3402.32
2019-09-24,3437.78
2019-09-25,3438.66
2019-09-26,3451.02
2019-09-27,3435.71
2019-09-28,3462.01
2019-09-29,3462.01
2019-09-30,3462.01
2019-10-01,3477.45
2019-10-02,3491.29
2019-10-03,3497.34
2019-10-04,3467.6
2019-10-05,3430.28
2019-10-06,3430.28
2019-10-07,3430.28
2019-10-08,3445.76
2019-10-09,3452.57
2019-10-10,3454.56
2019-10-11,3458.42
2019-10-12,3431.46
2019-10-13,3431.46
2019-10-14,3431.46
2019-10-15,3431.46
2019-10-16,3451.33
2019-10-17,3459.55
2019-10-18,3465.35
2019-10-19,3428.63
2019-10-20,3428.63
