Fecha,Precio
"19/9/2023,3905.95;"
"18/9/2023,3928.28;"
"15/9/2023,3926.59;"
"14/9/2023,3950.92;"
"13/9/2023,3993.53;"
"12/9/2023,3997.74;"
"11/9/2023,4012.26;"
"8/9/2023,4045.83;"
"7/9/2023,4093.04;"
"6/9/2023,4089.46;"
"5/9/2023,4063.36;"
"1/9/2023,4099.2;"
"31/8/2023,4085.33;"
"30/8/2023,4110.08;"
"29/8/2023,4111.52;"
"28/8/2023,4117.78;"
"25/8/2023,4076.9;"
"24/8/2023,4085.89;"
"23/8/2023,4120.07;"
"22/8/2023,4124.04;"
"18/8/2023,4093.96;"
"17/8/2023,4130.33;"
"16/8/2023,4096.08;"
"15/8/2023,4029.95;"
"14/8/2023,3973.41;"
"11/8/2023,3955.23;"
"10/8/2023,4031.65;"
"9/8/2023,4076.46;"
"8/8/2023,4077.9;"
"4/8/2023,4144.79;"
"3/8/2023,4056.99;"
"2/8/2023,4007.44;"
"1/8/2023,3898.48;"
"31/7/2023,3923.49;"
"28/7/2023,3932.04;"
"27/7/2023,3951.1;"
"27/7/2023,3951.1;"
"26/7/2023,3978.83;"
"25/7/2023,3950.58;"
"24/7/2023,3971.38;"
"21/7/2023,3980.2;"
"19/7/2023,3991.15;"
"18/7/2023,4069.39;"
"17/7/2023,4089.3;"
"14/7/2023,4102.13;"
"13/7/2023,4128.67;"
"12/7/2023,4193.59;"
"11/7/2023,4154.06;"
"10/7/2023,4189.96;"
"7/7/2023,4195.93;"
"6/7/2023,4128.08;"
"5/7/2023,4177.58;"
"30/6/2023,4191.28;"
"29/6/2023,4169.6;"
"28/6/2023,4152.48;"
"27/6/2023,4172.33;"
"26/6/2023,4168.88;"
"23/6/2023,4114.39;"
"22/6/2023,4158.21;"
"21/6/2023,4149.18;"
"20/6/2023,4145.72;"
"16/6/2023,4164.66;"
"15/6/2023,4182.33;"
"14/6/2023,4186.3;"
"13/6/2023,4173.66;"
"9/6/2023,4179.98;"
"8/6/2023,4209.14;"
"8/6/2023,4209.14;"
"7/6/2023,4245;"
"6/6/2023,4307.02;"
"5/6/2023,4355.8;"
"2/6/2023,4410.49;"
"1/6/2023,4434.09;"
"31/5/2023,4408.65;"
"30/5/2023,4461.66;"
"26/5/2023,4470.83;"
"25/5/2023,4448.93;"
"24/5/2023,4501.81;"
"23/5/2023,4528.67;"
"19/5/2023,4521.64;"
"18/5/2023,4528.3;"
"17/5/2023,4531.58;"
"16/5/2023,4506.49;"
"15/5/2023,4564.44;"
"12/5/2023,4601.15;"
"11/5/2023,4545.39;"
"10/5/2023,4540.34;"
"9/5/2023,4490.58;"
"8/5/2023,4552.56;"
"5/5/2023,4616.58;"
"4/5/2023,4667.09;"
"3/5/2023,4713.08;"
"2/5/2023,4669;"
"28/4/2023,4654.14;"
"27/4/2023,4552.59;"
"26/4/2023,4486.6;"
"25/4/2023,4482.45;"
"24/4/2023,4523.64;"
"21/4/2023,4535.78;"
"20/4/2023,4532.43;"
"19/4/2023,4473.07;"
"18/4/2023,4431.45;"
"17/4/2023,4425.27;"
